Venue ID,Artist,Date
3bd1346c,King For A Day,18-08-2023
73d512a9,Magnum,10-04-1994
73d512a9,Ghost Dance,26-09-1987
7bd12a60,The Salts,06-11-2023
4bd5b342,Amsterdam,08-05-2005
43d54b77,Oasis Stripped,21-10-2017
43d54b77,Mark Morriss,02-06-2017
3bd6c834,Lost Gravity,31-12-2015
3bd6c834,The Snakeoil Rattlers,16-12-2015
3bd6c834,Stereo Juggernaut,04-12-2015
3bd6c834,of Arrowe Hill,02-12-2015
3bd6c834,Megadeth,13-11-2015
3bd6c834,Avenford,23-10-2015
3bd6c834,Mark and the Clouds,30-07-2015
3bd6c834,Kartel,05-07-2015
3bd6c834,Knuckledust,05-07-2015
3bd6c834,No Turning Back,05-07-2015
3bd6c834,Ninebar,04-07-2015
3bd6c834,Strength Approach,04-07-2015
3bd6c834,The Angry Agenda,27-06-2015
3bd6c834,The Warriors,20-06-2015
3bd6c834,Alex Lipinski,29-04-2015
3bd6c834,Maid of Ace,27-03-2015
3bd6c834,The Men That Will Not Be Blamed for Nothing,06-03-2015
3bd6c834,of Arrowe Hill,14-02-2015
3bd6c834,Frank Turner,02-02-2015
3bd6c834,WitchDoktors,11-01-2015
13de95a5,Ollie Dixon,12-12-2024
13de95a5,Moya Silk,14-11-2024
13de95a5,Penny Arcade,17-10-2024
4bd427e2,Detestation,15-09-1998
4bd427e2,Lasse Marhaug,13-09-1997
4bd427e2,Wertham,13-09-1997
4bd427e2,Origami Replika,13-09-1997
4bd427e2,Metroschifter,20-08-1997
63d78efb,Peter Doherty,27-01-2010
63d78efb,Babyshambles,11-12-2008
63d78efb,Peter Doherty,09-12-2008
63d78efb,Peter Doherty,31-10-2008
63d78efb,Babyshambles,27-10-2008
4bd073d6,Unkle Bob,17-02-2011
4bd073d6,De Fuckups,23-05-2010
4bd073d6,Regina Spektor,15-09-2003
4bd71be6,Damon Albarn,12-08-2020
4bd71be6,"The Good, the Bad & the Queen",21-11-2018
4bd71be6,Blur,02-07-2012
4bd71be6,"The Good, the Bad & the Queen",20-01-2007
5bd60f94,The Invaines,20-05-2023
5bd60f94,Death Goals,15-05-2023
5bd60f94,Knives Chau Fan Club,15-05-2023
5bd60f94,Wreaking Joy,15-05-2023
5bd60f94,Vicarage,15-05-2023
5bd60f94,Field Lines Cartographer,11-05-2023
5bd60f94,worriedaboutsatan,11-05-2023
5bd60f94,El Universo,03-05-2023
5bd60f94,Visceral Noise Department,03-05-2023
5bd60f94,The Atom Age,30-04-2023
5bd60f94,Fatal Collision,09-04-2023
5bd60f94,Daniel Wax Off,09-04-2023
5bd60f94,Crippled Fox,09-04-2023
5bd60f94,The F-Ups,02-04-2023
5bd60f94,Anti-System,02-04-2023
5bd60f94,Dallas Love Field,17-03-2023
5bd60f94,Mike Viola,02-03-2023
5bd60f94,Visceral Noise Department,18-02-2023
5bd60f94,HAVR,08-02-2023
5bd60f94,wormboys,08-02-2023
3bd520a4,Architects,10-11-2007
43d32f17,The Maccabees,01-10-2005
43d32f17,"¡Forward, Russia!",01-10-2005
43d32f17,The Fratellis,01-10-2005
43d32f17,Dartz!,01-10-2005
43d32f17,The Fratellis,30-09-2005
4bd3b7e2,The Action,27-01-1967
73de96b5,Judie Tzuke,13-10-2024
1bd3b130,Gauchos Calientes,21-06-2023
1bd3b130,Sampa the Great,07-06-2022
1bd3b130,Ryoji Ikeda,10-09-2021
1bd3b130,Demdike Stare,28-03-2019
1bd3b130,Lee Gamble,28-03-2019
1bd3b130,Puce Mary,28-03-2019
23d710eb,Day of Phoenix,02-11-1971
23d710eb,Morgan,02-11-1971
23d710eb,Genesis,12-10-1971
23d710eb,Status Quo,21-09-1971
23d710eb,Hawkwind,17-08-1971
23d710eb,Fusion Orchestra,11-05-1971
23d710eb,Patto,06-10-1970
23d710eb,Gnidrolog,06-10-1970
23d710eb,T2,22-09-1970
23d710eb,Trees,15-09-1970
23d710eb,Levee Camp Moan,08-09-1970
23d710eb,Gracious,08-09-1970
73dea6b9,L1NKN P4RK,10-09-2024
43d2e7ef,Oceans on Mars,19-07-2018
43d2e7ef,Alien Clouds,01-03-2018
2bd10826,Neev,03-02-2024
13d22da9,Rod Stewart,12-07-2019
13d22da9,Elton John,09-06-2019
13d22da9,Little Mix,06-07-2018
13d22da9,Germein,06-07-2018
13d22da9,Rak-Su,06-07-2018
13d22da9,Lionel Richie,23-06-2018
13d22da9,Shane Filan,23-06-2018
13d22da9,Louisa,16-07-2017
13d22da9,Olly Murs,16-07-2017
13d22da9,Tom Jones,17-07-2016
33d2d8b5,That Darn Sasquatch,22-12-2010
33d2d8b5,That Darn Sasquatch,31-01-2009
33d2d8b5,That Darn Sasquatch,26-07-2008
6bd45656,One Week Stand,21-02-2015
6bd45656,Strange Tenants,23-08-2014
6bd45656,The Beat starring Dave Wakeling,30-04-2011
63d4ae23,Brother & Bones,24-11-2013
63d4ae23,The Orb,13-10-2013
63d4ae23,The View,12-05-2013
63d4ae23,The View,11-05-2013
63d4ae23,The View,10-05-2013
33d4b811,The Murderburgers,18-07-2013
33d4b811,Vigo Thieves,29-03-2013
7bd516c4,Andy Cairns,15-05-2013
bd55d86,Neon Neon,31-10-2008
13d76d51,The Bluetones,05-04-2003
13d76d51,Biffy Clyro,22-08-2002
53d7c3c9,The Macc Lads,31-03-1988
53d7c3c9,The Macc Lads,26-11-1987
53d7c3c9,Pulp,08-10-1987
53d7c3c9,Flesh for Lulu,27-05-1987
53d7c3c9,Flesh for Lulu,07-05-1987
1bd27d84,She Makes War,20-11-2016
1bd27d84,She Makes War,19-11-2016
53d137ad,Tailblock,01-11-2024
53d137ad,The Far Field,01-11-2024
53d137ad,Queen Horizon,27-07-2024
53d137ad,The Bearing,13-07-2024
53d137ad,Salvation Jayne,12-07-2024
53d137ad,Salvation Jayne,12-07-2024
53d137ad,Seek Harbour,12-07-2024
53d137ad,Message From the Ravens,20-10-2023
53d137ad,The Bearing,20-10-2023
63d79af3,Kula Shaker,27-09-2009
63d79af3,House of Brothers,12-02-2009
